V,I,P,R,T,mAH,WH
33.427,7.45,249,4.49,25,5231.64,186.82014
33.416,7.45,248.9,4.49,25,5251.93,187.49817
33.404,7.45,248.9,4.48,25,5272.64,188.19011
33.391,7.45,248.8,4.48,25,5292.94,188.86803
33.38,7.45,248.7,4.48,25,5313.73,189.56233
33.367,7.45,248.6,4.48,25,5334.45,190.25389
33.355,7.45,248.5,4.48,25,5355.18,190.94547
33.343,7.45,248.4,4.48,25,5376.34,191.65091
33.331,7.45,248.3,4.47,25,5396.65,192.32797
33.317,7.45,248.2,4.47,25,5417.81,193.03317
33.304,7.45,248.1,4.47,25,5438.5,193.72252
33.293,7.45,248,4.47,25,5459.25,194.41339
33.28,7.45,247.9,4.47,25,5479.54,195.08879
33.269,7.45,247.9,4.47,25,5500.26,195.77835
33.255,7.45,247.7,4.46,25,5520.6,196.4548
33.243,7.45,247.7,4.46,25,5541.37,197.14543
33.23,7.45,247.6,4.46,25,5562.07,197.83319
33.218,7.45,247.5,4.46,25,5582.8,198.52199
33.204,7.45,247.4,4.46,25,5603.52,199.21017
33.192,7.45,247.3,4.46,25,5624.69,199.91295
33.179,7.45,247.2,4.45,25,5645.38,200.59964
33.167,7.45,247.1,4.45,25,5665.67,201.27242
33.153,7.45,247,4.45,25,5686.44,201.96117
33.141,7.45,246.9,4.45,25,5707.18,202.64861
33.127,7.45,246.8,4.45,25,5727.87,203.33435
33.113,7.45,246.7,4.44,25,5748.18,204.00714
33.101,7.45,246.6,4.44,25,5768.9,204.69301
33.087,7.45,246.5,4.44,25,5789.68,205.38052
33.075,7.45,246.4,4.44,25,5810.79,206.07884
33.06,7.45,246.3,4.44,25,5831.48,206.76311
33.047,7.45,246.2,4.44,25,5851.8,207.43472
33.033,7.45,246.1,4.43,25,5872.5,208.11856
33.02,7.45,246,4.43,25,5893.23,208.80341
33.006,7.45,245.9,4.43,25,5914.34,209.50044
32.993,7.45,245.8,4.43,25,5935.06,210.18422
32.977,7.45,245.7,4.43,25,5955.78,210.86745
32.965,7.45,245.6,4.42,25,5976.06,211.53609
32.95,7.45,245.5,4.42,25,5996.82,212.22021
32.939,7.45,245.4,4.42,25,6017.52,212.90242
32.922,7.45,245.3,4.42,25,6038.64,213.59776
32.906,7.45,245.1,4.42,25,6059.37,214.28
32.893,7.45,245.1,4.42,25,6079.65,214.94722
32.877,7.45,244.9,4.41,25,6100.37,215.62865
32.864,7.45,244.8,4.41,25,6121.44,216.32118
32.848,7.45,244.7,4.41,25,6142.15,217.0016
32.833,7.45,244.6,4.41,25,6162.43,217.66765
32.817,7.45,244.5,4.4,25,6182.97,218.34187
32.803,7.45,244.4,4.4,25,6203.68,219.02129
32.786,7.45,244.3,4.4,25,6224.37,219.69994
32.772,7.45,244.2,4.4,25,6245.51,220.39299
32.754,7.45,244,4.4,25,6266.22,221.07129
32.74,7.45,243.9,4.39,25,6286.95,221.75002
32.723,7.45,243.8,4.39,25,6307.24,222.41425
32.708,7.45,243.7,4.39,25,6327.98,223.09264
32.689,7.45,243.5,4.39,25,6348.68,223.76968
32.674,7.45,243.4,4.39,25,6368.98,224.43303
32.656,7.45,243.3,4.38,25,6389.74,225.11121
32.64,7.45,243.2,4.38,25,6410.48,225.78833
32.62,7.45,243,4.38,25,6431.18,226.46353
32.603,7.45,242.9,4.38,25,6452.29,227.15199
32.584,7.45,242.8,4.37,25,6473.05,227.82855
32.567,7.45,242.6,4.37,25,6493.33,228.4892
32.546,7.45,242.5,4.37,25,6514.07,229.16446
32.528,7.45,242.3,4.37,25,6534.78,229.83838
32.507,7.45,242.2,4.36,25,6555.92,230.52548
32.486,7.45,242,4.36,25,6576.69,231.20068
32.467,7.45,241.9,4.36,25,6597.39,231.87282
32.444,7.45,241.7,4.35,25,6617.67,232.53098
32.425,7.45,241.6,4.35,25,6638.43,233.20436
32.4,7.45,241.4,4.35,25,6659.2,233.87756
32.38,7.45,241.2,4.35,25,6679.89,234.54787
32.355,7.45,241,4.34,25,6700.18,235.20467
32.333,7.45,240.9,4.34,25,6720.9,235.87456
32.307,7.45,240.7,4.34,25,6741.6,236.54384
32.285,7.45,240.5,4.33,25,6762.38,237.21492
32.256,7.45,240.3,4.33,25,6783.55,237.8978
32.232,7.45,240.1,4.33,25,6804.26,238.56564
32.203,7.45,239.9,4.32,25,6825.05,239.2354
32.173,7.45,239.7,4.32,25,6844.98,239.87714
32.147,7.45,239.5,4.32,25,6866.12,240.55692
32.113,7.45,239.2,4.31,25,6886.86,241.22316
32.085,7.45,239,4.31,25,6907.55,241.88739
32.049,7.45,238.8,4.3,25,6927.84,242.53789
32.019,7.45,238.5,4.3,25,6948.59,243.20244
31.98,7.45,238.3,4.29,25,6969.3,243.86517
31.947,7.45,238,4.29,25,6990.09,244.52991
31.906,7.45,237.7,4.28,25,7010.83,245.19188
31.869,7.45,237.4,4.28,25,7031.94,245.86526
31.824,7.45,237.1,4.27,25,7052.71,246.52666
31.784,7.45,236.8,4.27,25,7073.44,247.18596
31.735,7.45,236.4,4.26,25,7093.75,247.83078
31.69,7.45,236.1,4.25,25,7114.44,248.48712
31.639,7.45,235.7,4.25,25,7135.17,249.14345
31.59,7.45,235.3,4.24,25,7155.45,249.78465
31.529,7.45,234.9,4.23,25,7176.21,250.43959
31.465,7.45,234.4,4.22,25,7196.9,251.09152
31.407,7.45,234,4.22,25,7217.65,251.74355
31.336,7.45,233.5,4.21,25,7238.75,252.40579
31.271,7.45,233,4.2,25,7259.5,253.05527
31.19,7.45,232.4,4.19,25,7280.2,253.70171
31.116,7.45,231.8,4.18,25,7300.48,254.33351
31.026,7.45,231.1,4.16,25,7321.27,254.97929
30.943,7.45,230.5,4.15,25,7341.96,255.62045
30.839,7.45,229.8,4.14,25,7363.07,256.27255
30.744,7.45,229,4.13,25,7383.76,256.90973
30.631,7.45,228.2,4.11,25,7404.54,257.54767
30.504,7.45,227.3,4.09,25,7425.24,258.18024
30.387,7.45,226.4,4.08,25,7445.54,258.79825
30.241,7.45,225.3,4.06,25,7466.29,259.42737
30.106,7.45,224.3,4.04,25,7487.08,260.05481
29.936,7.45,223,4.02,25,7507.78,260.67618
29.776,7.45,221.8,4,25,7528.05,261.28165
29.605,7.45,220.6,3.97,25,7548.81,261.89771
29.388,7.45,218.9,3.94,25,7569.58,262.51031
29.149,7.45,217.2,3.91,25,7590.34,263.11786
28.925,7.45,215.5,3.88,25,7611.04,263.71909
28.64,7.45,213.4,3.84,25,7632.16,264.32709
28.371,7.45,211.4,3.81,25,7652.89,264.91797
0.002,0,0,Inf,25,7669.54,265.35175
